nct_id,title,acronym,status,study_results,conditions,interventions,outcome_measures,sponsors,gender,min_age,max_age,age_groups,phases,enrollment,funded_bys,study_types,exp_acc_types,study_designs,other_ids,start_date,primary_completion_date,completion_date,study_first_posted,last_update_posted,locations,documents,url
NCT04540393,AZD1222 Vaccine for the Prevention of COVID-19, ,Withdrawn,No Results Available,COVID-19,AZD1222,Incidence of SAEs following the first vaccination and throughout the study duration (Day 180) [Safety and Tolerability].|Incidence of Solicited AEs for 7 following each vaccination [Safety and Tolerability].|SARS-CoV-2 antigen-specific antibody levels|The rate of participants seroconverting from negative to positive SARS-CoV-2 S antigen|The rate of participants seroconverting from negative to positive SARS-CoV-2 N|Quantity of SARS-CoV-2 neutralizing antibodies|Count of peripheral blood mononuclear cells (PBMCs)|Quantity of seasonal coronavirus antigens|Quantity of antibodies to the ChAdOx1vector and the persistence of these antibodies over time,AstraZeneca|Iqvia Pty Ltd|Covance,All,18 Years,130 Years,Adult|Older Adult,Phase 3,0,Industry,Interventional, ,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,D8111C00001,"September 2, 2020","December 4, 2020","May 11, 2022","September 7, 2020","October 1, 2021","Research Site, Moscow, Russian Federation|Research Site, Saint Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, St. Petersburg, Russian Federation", ,https://ClinicalTrials.gov/show/NCT04540393
NCT04351802,CORonavirus (COVID-19) Diagnostic Lung UltraSound Study,COR-DLUS,Completed,No Results Available,COVID-19,Lung ultrasound,Diagnosis of COVID-19 on lung ultrasound|Difference in diagnosis of COVID-19 on lung ultrasound vs. chest x-ray|Diagnosis of alternative condition to COVID-19 on lung ultrasound vs. chest x-ray|Ability of surveillance lung ultrasound to predict clinical trajectory / outcome in patients with COVID-19|Consistency of lung ultrasound interpretation in patients presenting with suspected COVID-19,University Hospital Plymouth NHS Trust,All,18 Years, ,Adult|Older Adult, ,45,Other,Observational, ,Observational Model: Cohort|Time Perspective: Prospective,282661,"May 11, 2020","February 15, 2021","February 15, 2021","April 17, 2020","October 15, 2021","Derriford Hospital, Plymouth, Devon, United Kingdom", ,https://ClinicalTrials.gov/show/NCT04351802
NCT04883138,Recombinant Hyperimmune Polyclonal Antibody (GIGA-2050) in COVID-19 Patients, ,Terminated,No Results Available,COVID-19,GIGA-2050,"Incidence of treatment-emergent adverse events (TEAEs)|Incidence of dose limiting toxicities (DLTs)|Change from baseline of vital signs, physical examination, and clinical laboratory assessments|Incidence of infusion-related reactions (IRR) and hypersensitivity reactions|Pharmacological evaluation of single doses of GIGA-2050","GigaGen, Inc.",All,18 Years, ,Adult|Older Adult,Phase 1,3,Industry,Interventional, ,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GG-GIGA-2050-001,"May 24, 2021","January 11, 2022","January 11, 2022","May 12, 2021","January 26, 2022","Icahn School of Medicine at Mount Sinai, New York, New York, United States", ,https://ClinicalTrials.gov/show/NCT04883138
NCT04359095,Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia, ,Completed,No Results Available,COVID-19,Emtricitabine/tenofovir|Colchicine Pill|Rosuvastatin|Standard treatment,"Mortality|Number of Participants with Treatment Related Severe Adverse Events as Assessed by the NCORP Guidance for Collection of Adverse Events Related to COVID-19 Infection|Time to death|Number of Participants that are transferred to the Intensive Care Unit (ICU)|Number of Participants that need Mechanical Ventilation Support with endotracheal intubation.|Number of participants Cured assessed by Nasopharyngeal swab, oropharyngeal swab, and blood aspiration for COVID19 (RT-PCR) without clinical symptoms and normal chest X ray|Number of Participants with Any Adverse Event Related to Treatment Assessed by the NCORP Guidance for Collection of Adverse Events Related to COVID-19 Infection",Universidad Nacional de Colombia|Pontificia Universidad Javeriana|Clínica Colsanitas-Clínica Universitaria Colombia|Hospital Universitario San Ignacio|Hospital Universitario Nacional de Colombia (HUN)|Fundación Cardioinfantil Instituto de Cardiología|Clínica Infantil Santa María del Lago,All,18 Years, ,Adult|Older Adult,Phase 2|Phase 3,650,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,76968,"August 18, 2020","March 20, 2021","June 30, 2021","April 24, 2020","August 12, 2021","Clinica santa Maria del lago, Bogota, DC, Colombia|Clínica Reina Sofía, Bogotá, Colombia|Fundacion Cardio Infantil, Bogotá, Colombia|Hospital Universitario San Ignacio, Bogotá, Colombia|Clinica Universitaria Colombia, Bogotá, Colombia|Hospital Universitario Nacional de Colombia, Bogotá, Colombia", ,https://ClinicalTrials.gov/show/NCT04359095
NCT05109546,Geriatric COVID-19 Serology,SeroGerCov,Recruiting,No Results Available,COVID-19, ,Retrospective study of COVID serologies in a geriatric population after infection or vaccination,"University Hospital, Strasbourg, France",All,76 Years, ,Older Adult, ,200,Other,Observational, ,Observational Model: Case-Only|Time Perspective: Retrospective,8438,"October 15, 2021",March 2022,"March 31, 2022","November 5, 2021","November 17, 2021","Service SSR Gériatrique - Hôpitaux Universitaires de Strasbourg, Strasbourg, France", ,https://ClinicalTrials.gov/show/NCT05109546
NCT05126498,Influence of the COVID-19 Pandemic on Dutch Surgical Patterns of Care, ,Completed,No Results Available,COVID-19,no intervention,Number of performed surgical procedures|Length of hospital stay (days)|30-day hospital readmissions (percentage)|severe complications (Clavien-Dindo grade > 3A)|ICU admission (percentage)|length of ICU stay (days)|mortality rate (percentage),University Medical Center Groningen,All,18 Years, ,Adult|Older Adult, ,40296,Other,Observational, ,Observational Model: Other|Time Perspective: Prospective,COVIDsurgII01,"August 1, 2020","May 1, 2021","May 1, 2021","November 19, 2021","November 19, 2021","UMCG, Groningen, Netherlands", ,https://ClinicalTrials.gov/show/NCT05126498
NCT04345445,Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression, ,Not yet recruiting,No Results Available,COVID-19,Tocilizumab|Methylprednisolone,The proportion of patients requiring mechanical ventilation|Mean days of ventilation|The proportion of patients requiring ICU admission|Overall 28-day survival|Change in symptom severity assessed by the World Health Organization (WHO) Coronavirus Disease 2019 (COVID19) ordinal scale measured daily up to 7 days from baseline|Duration of hospital and ICU stay,University of Malaya,All,18 Years, ,Adult|Older Adult,Phase 3,310,Other,Interventional, ,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TVCS-COVID19,"April 15, 2020","October 31, 2020","October 31, 2020","April 14, 2020","April 14, 2020","University Malaya Medical Centre, Kuala Lumpur, Malaysia", ,https://ClinicalTrials.gov/show/NCT04345445
NCT04508712,Long-term Outcomes in Patients With COVID-19, ,Recruiting,No Results Available,COVID-19, ,Physical functions|Respiratory function|Cognitive function|Depression status|Sensory functions|Heart function,RenJi Hospital,All,18 Years, ,Adult|Older Adult, ,900,Other,Observational, ,Observational Model: Case-Only|Time Perspective: Prospective,COVID-19 Prognosis,"August 10, 2020","August 31, 2021","August 31, 2021","August 11, 2020","October 23, 2020","Renji Hospital, Shanghai Jiaotong University School of Medicine, Pudong, Shanghai, China", ,https://ClinicalTrials.gov/show/NCT04508712
NCT05195229,Quantifying Viral Load in Respiratory Particles That Are Generated by Children and Adults With COVID-19 Infection, ,Recruiting,No Results Available,COVID-19,COVID-19 Aerosol Collection,Viral Load in Aerosols generated from COVID-19,Massachusetts General Hospital,All, , ,Child|Adult|Older Adult,Not Applicable,30,Other,Interventional, ,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,2020P002886,"January 13, 2022","March 1, 2022","May 1, 2022","January 18, 2022","January 18, 2022","Massachusetts General Hospital, Boston, Massachusetts, United States", ,https://ClinicalTrials.gov/show/NCT05195229
NCT04460547,Worldwide Trends on COVID-19 Research After the Declaration of COVID-19 Pandemic, ,Not yet recruiting,No Results Available,COVID-19,Convalescent Plasma Transfusion|Hydroxychloroquine|DAS181|Ivermectin|Interferon Beta-1A,"Geographical distribution of the interventional studies after 11th of March 2020.|Geographical distribution of the Observational studies after 11th of March 2020.|Monthly Research study completion rate as per geographic distribution of the Research.|Statistical correlation of the interventional studies Research with developed, developing and under developed countries.|Statistical correlation of the observational studies Research with developed, developing and under developed countries.|Statistical correlation of the Drug based interventional studies Research with developed, developing and under developed countries.|Statistical correlation of the Diagnostic test based interventional studies Research with developed, developing and under developed countries.|Statistical correlation of the Device based interventional studies Research with developed, developing and under developed countries.",Qassim University,All,1 Year, ,Child|Adult|Older Adult, ,200,Other,Observational, ,Observational Model: Cohort|Time Perspective: Retrospective,COAHS,"July 25, 2020","August 15, 2020","September 20, 2020","July 7, 2020","July 7, 2020", , ,https://ClinicalTrials.gov/show/NCT04460547
NCT04361422,Isotretinoin in Treatment of COVID-19,Randomized,Not yet recruiting,No Results Available,COVID-19,Isotretinoin Only Product in Oral Dose Form,Clinical clearance,Tanta University,All,18 Years,40 Years,Adult,Phase 3,300,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,9469305c,"December 1, 2020",August 2021,December 2021,"April 24, 2020","September 23, 2020", , ,https://ClinicalTrials.gov/show/NCT04361422
NCT04625972,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Post- Exposure Prophylaxis of COVID-19 in Adults",STORM CHASER,"Active, not recruiting",No Results Available,COVID-19,AZD7442|Placebo,"The incidence of the first case of SARS CoV-2 RT PCR positive symptomatic illness|AEs, SAEs, MAAEs, and AESIs post dose of IMP|The incidence of SARS-CoV-2 RT-PCR-positive severe or critical symptomatic illness occurring after dosing with IMP|The incidence of participants who have a post-treatment response (negative at baseline to positive at any time post-baseline) for SARSCoV- 2 nucleocapsid antibodies|The incidence of COVID-19-related death occurring after dosing with IMP|The incidence of all-cause mortality occurring after dosing with IMP|Serum AZD7442 concentrations, PK parameters if data permit.|Incidence of ADA to AZD7442 in serum",AstraZeneca|Iqvia Pty Ltd,All,18 Years,120 Years,Adult|Older Adult,Phase 3,1121,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",D8850C00003,"December 2, 2020","April 7, 2021","June 19, 2022","November 12, 2020","December 8, 2021","Research Site, Guntersville, Alabama, United States|Research Site, Tempe, Arizona, United States|Research Site, Little Rock, Arkansas, United States|Research Site, Bakersfield, California, United States|Research Site, Corona, California, United States|Research Site, Garden Grove, California, United States|Research Site, Huntington Beach, California, United States|Research Site, Huntington Park, California, United States|Research Site, Modesto, California, United States|Research Site, Coral Springs, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami Springs, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Mount Dora, Florida, United States|Research Site, North Miami, Florida, United States|Research Site, Pembroke Pines, Florida, United States|Research Site, Pompano Beach, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Atlanta, Georgia, United States|Research Site, Buford, Georgia, United States|Research Site, Conyers, Georgia, United States|Research Site, Chicago, Illinois, United States|Research Site, Chicago, Illinois, United States|Research Site, Hazel Crest, Illinois, United States|Research Site, Noblesville, Indiana, United States|Research Site, West Des Moines, Iowa, United States|Research Site, Wichita, Kansas, United States|Research Site, Owensboro, Kentucky, United States|Research Site, Bethesda, Maryland, United States|Research Site, High Point, North Carolina, United States|Research Site, Wilmington, North Carolina, United States|Research Site, Orangeburg, South Carolina, United States|Research Site, Dallas, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, Friendswood, Texas, United States|Research Site, Gonzales, Texas, United States|Research Site, Harlingen, Texas, United States|Research Site, Houston, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Riverton, Utah, United States|Research Site, Alexandria, Virginia, United States|Research Site, Portsmouth, Virginia, United States|Research Site, Richmond, Virginia, United States|Research Site, Tacoma, Washington, United States|Research Site, Bournemouth, United Kingdom|Research Site, Hayle, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Southampton, United Kingdom", ,https://ClinicalTrials.gov/show/NCT04625972
NCT04355741,"Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease", ,Completed,No Results Available,COVID-19,Exposure,Differences in gut microbiota composition between COVID-19 patients with different degrees of disease severity.|Differences in gut microbiota composition between COVID-19 patients in relation to mortality.|Differences in gut microbiota composition between COVID-19 patients in relation to length of stay in hospitals.|Differences in gut microbiota composition between COVID-19 patients in relation to duration of mechanical ventilation.,"Universidade Nova de Lisboa|NOVA Medical School of Universidade NOVA de Lisboa|Hospital de São Francisco Xavier, Centro Hospitalar de Lisboa Ocidental|Centro Hospitalar Universitário São João|CUF Academic and Research Medical Center|Hospital CUF Infante Santo, S.A.|Centro de Medicina Laboratorial Germano de Sousa, S.A.|CINTESIS - Center for Health Technology and Services Research",All,18 Years, ,Adult|Older Adult, ,115,Other,Observational, ,Observational Model: Case-Only|Time Perspective: Cross-Sectional,COVID19_Microbiota,"April 20, 2020","July 1, 2020","July 16, 2020","April 21, 2020","August 25, 2020","Hospital CUF Infante Santo, S.A., Lisbon, Portugal|Hospital de São Francisco Xavier, Lisbon, Portugal|Centro Hospitalar Universitário São João, Oporto, Portugal", ,https://ClinicalTrials.gov/show/NCT04355741
NCT04388683,Inhaled Nitric Oxide for Preventing Progression in COVID-19,NO-COVID-19,Terminated,No Results Available,COVID-19,Nitric Oxide,"Prevention of progressive systemic de-oxygenation, with escalation to higher levels of oxygen and ventilatory support or death, assessed using a 7-point severity scale.|Prevention of progression assessed by an alternate severity scale|Time to reaching maximal severity score|Proportion of patients in each stage at maximum severity|PaO2/FIO2 or SaO2/FIO2 ratio, measured daily|Length of hospital Stay (death assigned as worst case)|Frequency of Intubation, ECMO, or need to intubate with ""Do Not Resuscitate"" order|Mortality|IL6 level|TNF-alpha level|Fibrinogen level|CRP level|Ferritin Level|D-dimer level",Tufts Medical Center|Bellerophon,All,18 Years,85 Years,Adult|Older Adult,Phase 2,10,Other|Industry,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STUDY00000554,"May 12, 2020","November 23, 2020","November 23, 2020","May 14, 2020","September 30, 2021","Tufts Medical Center, Boston, Massachusetts, United States", ,https://ClinicalTrials.gov/show/NCT04388683
NCT04578158,Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19, ,Completed,No Results Available,COVID-19,Standard COVID-19 care|Quercetin Phytosome,Percentage of subjects with COVID-19 disease progression,Liaquat University of Medical & Health Sciences,All,18 Years, ,Adult|Older Adult,Phase 3,152,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,LUMHS/REC/894,"September 29, 2020","March 28, 2021","April 15, 2021","October 8, 2020","April 22, 2021","Liaquat University Hospital, Jāmshoro, Sindh, Pakistan", ,https://ClinicalTrials.gov/show/NCT04578158
NCT04377763,Developement and Evaluation of Serological Assays for COVID-19,SEROCOV,Recruiting,No Results Available,COVID-19, ,Sensibility and specificity|Delay between the first symptoms and the positive serological result,Assistance Publique - Hôpitaux de Paris,All,18 Years, ,Adult|Older Adult, ,500,Other,Observational, ,Observational Model: Cohort|Time Perspective: Retrospective,20MWI-SEROCOV,"July 15, 2020",March 2021,March 2021,"May 6, 2020","February 25, 2021","Laboratory of microbiology of hospital hygiene, Ambroise Paré Hospital, APHP, Boulogne-Billancourt, France", ,https://ClinicalTrials.gov/show/NCT04377763
NCT04932941,MP1032 Treatment in Patients With Moderate to Severe COVID-19, ,Recruiting,No Results Available,COVID-19,MP1032|Placebo,"Percentage of Participants with Disease Progression at Day 14|Percentage of Participants with Disease Progression at Day 28|Percentage of Participants with Disease Resolution at Day 28|All-cause Mortality Rate at Day 28|Change from Baseline in Clinical Status related to COVID-19 according to the NIAID 8-point Ordinal Scale at Day 28|Percentage of Participants with Disease Resolution at Day 14|All-cause Mortality Rate at Day 14 and Day 60|Change from Baseline in Clinical Status related to COVID-19 According to the NIAID 8-point Ordinal Scale at Day 14|Percentage of Participants requiring Invasive Ventilation (Mechanical Ventilator and/or ECMO), or who are not Alive on Day 14 and Day 28|Percentage of Participants in each category of the NIAID 8-point Ordinal Scale|Time to (First) Improvement of at least 1 Category on the NIAID 8-point Ordinal Scale|The Odds Ratio for the Number of Participants with Clinical Status Improvement From Baseline on the NIAID 8-point Ordinal Scale at Day 14 and Day 28|Total Duration of Hospitalization at Day 28 and Day 60|Percentage of Participants alive and testing negative for COVID-19 at Day 14, Day 28, and Day 60|Number of Participants with treatment emergent Adverse Events (AEs) and Serious Adverse Events (SAEs)|Number of Participants with Vital Sign Abnormalities|Number of Participants With Physical Examination Findings|Number of Participants with Laboratory Findings|Maximum Observed Plasma Concentration (Cmax) of MP1032|Area Under the Plasma Concentration-time curve from Time Zero (pre-dose) to last non-zero concentration (AUC0-t) of MP1032|Apparent Elimination Rate Constant (K) of MP1032|Apparent Body Clearance (CL) of MP1032|Apparent Volume of Distribution (Vd) of MP1032|Plasma Concentration Prior to the Next Dose (Ctrough) of MP1032|Average Observed Plasma Concentration at Steady State of MP1032","MetrioPharm AG|Syneos Health, LLC",All,18 Years, ,Adult|Older Adult,Phase 2,120,Industry|Other,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MP1032-CT05|2021-000344-21,"October 19, 2021",April 2022,April 2022,"June 21, 2021","February 2, 2022","Snake River Research PLLC, Idaho Falls, Idaho, United States|Richmond University Medical Center, Staten Island, New York, United States|MHAT Dr. Stamen Iliev AD, Montana, Bulgaria|SHATPD Pernik EOOD, Pernik, Bulgaria|""Second Multiprofile Hospital For Active Treatment - Sofia"" Ead, Sofia, Bulgaria|Umhatem""N.I.Pirogov"", Sofia, Bulgaria|SHATPPD Sata Zagora EOOD, Stara Zagora, Bulgaria|Centre Hospitalier Victor Dupouy, Argenteuil, France|CHU de Grenoble Alpes, Grenoble Cedex 9, France|Centre Hospitalier Lyon Sud, Pierre-Benite CEDEX, France|DE KK Infektológiai Klinika, Debrecen, Hungary|Flor Ferenc Hospital of Pest County, Kistarcsa, Hungary|IRCCS Ospedale San Raffaele, Milan, Italy|Polo Universitario - L'Azienda Ospedaliera Luigi Sacco, Milan, Italy|Policlinico Agostino Gemelli, Roma, Italy|Spitalul Clinic de Boli Infectioase si Tropicale ""Dr. Victor Babes"", Bucharest, Romania|Spitalul Municipal Caracal, Caracal, Romania|Spitalul Clinic de Boli Infectioase ""Sfanta Parascheva"", Iaşi, Romania|Spitalul Judetean de Urgenta ""Sfantul Ioan cel Nou"", Suceava, Romania|Clinica Anestezie si Terapie Intensiva, Timişoara, Romania|Hospital Clinic de Barcelona Hospital Clinic i Provincial, Barcelona, Spain|Hospital Ramon y Cajal, Edificio Central, Madrid, Spain|Hospital Clínico Universitario de Salamanca, Salamanca, Spain|Hospital Universitario Marqués de Valdecilla/IDIVAL, Santander, Spain|Hospital Universitario de Valme, Sevilla, Spain|Hospital Álvaro Cunqueiro, Vigo, Spain", ,https://ClinicalTrials.gov/show/NCT04932941
NCT04421534,Utility of Lactoferrin as an Adjunct Therapeutic Agent for COVID-19, ,Not yet recruiting,No Results Available,COVID-19,Lactoferrin,Time to clinical improvement|Rate of virological cure,Cairo University,All,18 Years,65 Years,Adult|Older Adult,Phase 2|Phase 3,150,Other,Interventional, ,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CUKA-001,June 2020,September 2020,November 2020,"June 9, 2020","June 9, 2020", , ,https://ClinicalTrials.gov/show/NCT04421534
NCT04501796,A Trial of NT-I7 in COVID-19 (SPESELPIS), ,Recruiting,No Results Available,COVID-19,Double-Blind NT-I7|Double-Blind Placebo,Evaluate the safety of a single dose of NT-I7 in a dose escalation fashion|Evaluate the immunological effects of NT-I7 cumulatively for all doses on peripheral lymphocyte counts in COVID-19 patients.,NeoImmuneTech|National Institute of Allergy and Infectious Diseases (NIAID)|University of Nebraska,All,19 Years,75 Years,Adult|Older Adult,Phase 1,30,Industry|NIH|Other,Interventional, ,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",NIT-116 (SPESELPIS),"November 27, 2020",March 2022,June 2022,"August 6, 2020","December 13, 2021","Nih/Niaid, Bethesda, Maryland, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States", ,https://ClinicalTrials.gov/show/NCT04501796
NCT04428801,Autologous Adipose-derived Stem Cells (AdMSCs) for COVID-19, ,Not yet recruiting,No Results Available,COVID-19,autologous adipose-derived stem cells,"Tolerability and acute safety of AdMSC infusion by assessment of the total number of AEs/SAEs related and non-related with the medication|The overall proportion of subjects who develop any AEs/SAEs related and non-related with the AdMSC infusions as compared to the control group|COVID-19 incidence rates in both the study and control groups|The proportion of subjects who are infected by SARS-Cov-2 measured by PCR or other nuclear level-based SARS-Cov-2 virus testing in respiratory tract specimens (oropharyngeal samples) collected by oropharyngeal swab using the CDC standard method.|The proportion of subjects who are infected by SARS-Cov-2 virus develop symptoms including mild, classic, severe and critical sever cases between study group and control group.|Change of proportion of subjects who are infected by SARS-Cov-2 and develop IgM/IgG antibodies against SARS-Cov-2 between study group and control group.|Change of lymphocyte count in white blood cell counts from the baseline|Change of PaO2 arterial blood gases from the baseline|Compare the proportion of subjects who develop severe COVID-19 pneumonia cases for both study and control groups|COVID-19 mortality rates for both study and control groups|Change of C-reactive protein (CRP) (mg/L) from the baseline|Change of D-dimer (mg/L) from the baseline|Change of Procalcitonin (ug)/L from the baseline|Change of pro-type B natriuretic peptide (pro-BNP) (pg/mL) from the baseline|Change of Bilirubin (mg/dL) from the baseline|Change of Creatinine (mg/dL) from the baseline|Change in blood test values for cytokine panels (IL-1β, IL-6, IL-8, IL-10, TNFα) from the baseline|The proportion of subjects from SARS-CoV-2 RT-PCR positive to negativity in respiratory tract specimens (oropharyngeal samples) collected by oropharyngeal swab using the CDC standard method. as compared to control group|Quantifying viral RNA in stool for baseline and final follow-up.",Celltex Therapeutics Corporation,All,18 Years, ,Adult|Older Adult,Phase 2,200,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",CTX0020-003,September 2021,September 2022,September 2024,"June 11, 2020","July 23, 2021", , ,https://ClinicalTrials.gov/show/NCT04428801
NCT04625725,"Phase III Double-blind, Placebo-controlled Study of AZD7442 for Pre-exposure Prophylaxis of COVID-19 in Adult.",PROVENT,"Active, not recruiting",No Results Available,COVID-19,AZD7442|Placebo,"The incidence of the first case of SARS CoV-2 RT PCR positive symptomatic illness|AEs, SAEs, MAAEs, and AESIs post dose of IMP|The incidence of participants who have a post-treatment response (negative at baseline to positive at any time post-baseline) for SARS-CoV-2 nucleocapsid antibodies.|The incidence of SARS-CoV-2 RT-PCR-positive severe or critical symptomatic illness occurring after dosing with IMP|The incidence of COVID-19-related Emergency Department visits occurring after dosing with IMP|Serum AZD7442 concentrations, PK parameters if data permit.|Incidence of ADA to AZD7442 in serum.",AstraZeneca|Iqvia Pty Ltd,All,18 Years,120 Years,Adult|Older Adult,Phase 3,5197,Industry,Interventional, ,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",D8850C00002,"November 21, 2020","May 5, 2021","November 30, 2023","November 12, 2020","February 3, 2022","Research Site, Birmingham, Alabama, United States|Research Site, Tempe, Arizona, United States|Research Site, Little Rock, Arkansas, United States|Research Site, Cerritos, California, United States|Research Site, Fresno, California, United States|Research Site, Garden Grove, California, United States|Research Site, Huntington Beach, California, United States|Research Site, Lancaster, California, United States|Research Site, Modesto, California, United States|Research Site, Victorville, California, United States|Research Site, Westminster, California, United States|Research Site, Hartford, Connecticut, United States|Research Site, Middlebury, Connecticut, United States|Research Site, Clearwater, Florida, United States|Research Site, Coral Springs, Florida, United States|Research Site, Hollywood, Florida, United States|Research Site, Lauderdale Lakes, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Ormond Beach, Florida, United States|Research Site, Pompano Beach, Florida, United States|Research Site, Wesley Chapel, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Atlanta, Georgia, United States|Research Site, Columbus, Georgia, United States|Research Site, Conyers, Georgia, United States|Research Site, Chicago, Illinois, United States|Research Site, Hazel Crest, Illinois, United States|Research Site, Quincy, Illinois, United States|Research Site, Evansville, Indiana, United States|Research Site, Noblesville, Indiana, United States|Research Site, Wichita, Kansas, United States|Research Site, Wichita, Kansas, United States|Research Site, Minneapolis, Minnesota, United States|Research Site, Minneapolis, Minnesota, United States|Research Site, Saint Louis, Missouri, United States|Research Site, Omaha, Nebraska, United States|Research Site, Las Vegas, Nevada, United States|Research Site, Albuquerque, New Mexico, United States|Research Site, Bronx, New York, United States|Research Site, Jamaica, New York, United States|Research Site, Ridgewood, New York, United States|Research Site, Greensboro, North Carolina, United States|Research Site, Columbus, Ohio, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, Summerville, South Carolina, United States|Research Site, Rapid City, South Dakota, United States|Research Site, Austin, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, Houston, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Shenandoah, Texas, United States|Research Site, Sugar Land, Texas, United States|Research Site, Layton, Utah, United States|Research Site, Alexandria, Virginia, United States|Research Site, Chesapeake, Virginia, United States|Research Site, Alken, Belgium|Research Site, Bruxelles, Belgium|Research Site, Gozée, Belgium|Research Site, Namur, Belgium|Research Site, Wetteren, Belgium|Research Site, Clermont-Ferrand cedex, France|Research Site, Dijon cedex, France|Research Site, La Roche S/ Yon Cedex 9, France|Research Site, Lille, France|Research Site, Limoges cedex, France|Research Site, Nantes Cedex 1, France|Research Site, Paris cedex 10, France|Research Site, Paris cedex 14, France|Research Site, Saint Etienne Cedex 2, France|Research Site, Tours cedex 9, France|Research Site, Barcelona, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Marbella (Málaga), Spain|Research Site, Pozuelo de Alarcón, Spain|Research Site, Bournemouth, United Kingdom|Research Site, Enfield, United Kingdom|Research Site, Hayle, United Kingdom|Research Site, London, United Kingdom|Research Site, Preston, United Kingdom|Research Site, Rochdale, United Kingdom|Research Site, Salford, United Kingdom|Research Site, Torpoint, United Kingdom|Research Site, Wakefield, United Kingdom", ,https://ClinicalTrials.gov/show/NCT04625725
NCT04466644,COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics), ,Completed,No Results Available,COVID-19,ELISA|RT-PCR,Prevalence of contagiousness in asymptomatic individuals by PCR with nasopharyngeal swabs|Ratio of asymptomatic immunized (IgG) population|To validate saliva specimens as a biological sample for COVID-19 testing,Igenomix,All,18 Years, ,Adult|Older Adult, ,340,Industry,Observational, ,Observational Model: Other|Time Perspective: Prospective,IGX2-COV-JC-20-04|20201490,"June 8, 2020","August 24, 2020","August 25, 2020","July 10, 2020","September 14, 2020","Boston IVF Fertility Clinic, Boston, Massachusetts, United States|Utah Fertility Clinic, Pleasant Grove, Utah, United States", ,https://ClinicalTrials.gov/show/NCT04466644
